Crop,Disease_Type,Preferred_Time,Frequency,Weather_Condition,Temp,Humid,Notes
Spinach,Insect (Wireworms),Pre-planting,Soil Treat,Moist,10-18°C,60-80%,Root damage.
Spinach,Bacterial (Soft Rot),Harvest,Post-Harvest,Wet,20-25°C,90-100%,Slimy decay in bags.
Spinach,Insect (Thrips),Afternoon,Vegetative,Dry,20-28°C,40-60%,Silvering.
Spinach,Fungal (Damping Off),Pre-planting,Seed Treat,Wet,15-20°C,90-100%,Poor germination.
Spinach,Insect (Armyworm),Evening,Outbreak,Dry,20-28°C,50-70%,Foliage feeding.
Spinach,Fungal (Stemphylium Leaf Spot),Morning,Every 10 Days,Warm/Humid,20-25°C,85-95%,Oval spots.
Spinach,Nutritional (Yellowing),Morning,Nitrogen,Cool,10-20°C,N/A,General chlorosis.
Spinach,Insect (Mites),Afternoon,Drought,Dry,25-30°C,30-50%,Stippling.
Spinach,Viral (Beet Curly Top),Morning,Leafhopper Ctrl,Dry,25-30°C,40-60%,Leaves curl and yellow.
Spinach,Environmental (Bolting),N/A,Harvest,Long Days,25-30°C,N/A,Heat stress causes seed stalk.
Kale,Insect (Diamondback Moth),Evening,Weekly,Warm,20-30°C,40-60%,Larvae wriggle when disturbed.
Kale,Insect (Aphids),Morning,Weekly,Cool,15-22°C,60-80%,Cluster on undersides.
Kale,Fungal (Black Rot),Morning,Preventative,Warm/Wet,25-30°C,85-95%,V-lesions on margins.
Kale,Insect (Cabbage Looper),Evening,Weekly,Warm,22-28°C,60-80%,Large holes in leaves.
Kale,Fungal (Alternaria),Morning,Every 14 Days,Cool/Wet,15-20°C,80-90%,Black spots.
Kale,Insect (Flea Beetles),Mid-Day,Seedling,Sunny,20-28°C,40-60%,Severe damage on young plants.
Kale,Insect (Harlequin Bug),Morning,Weekly,Warm,24-30°C,50-70%,Sucks sap; causes wilting.
Kale,Fungal (Downy Mildew),Morning,Seedling,Cool/Humid,10-16°C,90-100%,Gray mold on undersides.
Kale,Insect (Whiteflies),Morning,Weekly,Calm,25-32°C,50-70%,Clouds of white flies.
Kale,Bacterial (Soft Rot),Harvest,Post-Harvest,Wet,20-25°C,90-100%,Wet rot.
Kale,Insect (Thrips),Afternoon,Vegetative,Dry,25-30°C,40-60%,Scaring on leaves.
Kale,Fungal (White Mold),Mid-Day,Mature,Cool/Wet,15-20°C,90-100%,Sclerotinia.
Kale,Insect (Root Maggot),Pre-planting,Drench,Cool/Wet,10-18°C,80-90%,Wilting.
Kale,Fungal (Clubroot),Pre-planting,Lime,Acidic,18-24°C,80-100%,Swollen roots.
Kale,Insect (Armyworm),Evening,Foliage,Dry,20-28°C,50-70%,Heavy feeding.
Kale,Viral (Turnip Mosaic),Morning,Vector Ctrl,Cool,15-22°C,60-80%,Mottling.
Kale,Nutritional (Calcium Def),Morning,Spray,Dry,20-30°C,50-70%,Tip burn.
Kale,Insect (Webworm),Evening,Seedling,Warm,24-30°C,60-80%,Webbing.
Kale,Fungal (Ring Spot),Morning,Every 14 Days,Cool/Wet,15-20°C,85-95%,Spots with halos.
Kale,Insect (Cutworms),Evening,Seedling,Dry,15-22°C,50-70%,Cut stems.
Barley,Fungal (Scald),Morning,Tillering,Cool/Wet,10-15°C,85-95%,Water-soaked lesions.
Barley,Fungal (Net Blotch),Morning,Every 14 Days,Cool/Humid,15-20°C,80-90%,Net-like pattern on leaves.
Barley,Insect (Aphids),Morning,Weekly,Cool,10-18°C,60-80%,BYDV vector.
Barley,Fungal (Rust),Morning,Flag Leaf,Warm/Humid,18-25°C,70-90%,Orange pustules.
Barley,Insect (Cereal Leaf Beetle),Mid-Day,Booting,Sunny,18-25°C,50-70%,Larvae feeding.
Barley,Fungal (Powdery Mildew),Afternoon,Stem Ext,Humid,15-22°C,85-95%,White pustules.
Barley,Insect (Wireworms),Pre-planting,Soil Treat,Moist,10-20°C,60-80%,Root damage.
Barley,Fungal (Smut),Pre-planting,Seed Treat,Cool,15-20°C,60-80%,Black heads.
Barley,Insect (Armyworm),Evening,Heading,Dry,20-28°C,50-70%,Head clipping.
Barley,Viral (Yellow Dwarf),Morning,Vector Ctrl,Cool,10-18°C,60-80%,Yellowing.
Barley,Fungal (Ramularia),Morning,Flowering,Wet,15-20°C,90-100%,Rectangular spots.
Barley,Insect (Thrips),Afternoon,Flowering,Dry,20-28°C,40-60%,Sterility.
Barley,Fungal (Fusarium),Morning,Flowering,Warm/Wet,20-30°C,85-95%,Scab.
Barley,Insect (Hessian Fly),Pre-planting,Resistant Var,Cool,10-18°C,60-80%,Stunted plants.
Barley,Nutritional (Manganese),Morning,Spray,High pH,15-20°C,N/A,Gray speck.
Barley,Insect (Mites),Afternoon,Jointing,Dry,15-25°C,40-60%,Stippling.
Barley,Fungal (Eyespot),Early Spring,Stem Ext,Cool/Wet,5-15°C,80-90%,Lodging.
Barley,Insect (Sawfly),Pre-Harvest,Resistant Var,Dry,20-30°C,30-50%,Stem cutting.
Barley,Bacterial (Bacterial Blight),Morning,Preventative,Wet,20-25°C,85-95%,Streaks.
Barley,Fungal (Root Rot),Pre-planting,Rotation,Wet,10-15°C,80-90%,Common root rot.
Millet,Fungal (Blast),Morning,Heading,Warm/Humid,25-30°C,80-95%,Leaf spots/head blast.
Millet,Insect (Stem Borer),Evening,Vegetative,Dry,25-32°C,60-80%,Dead hearts.
Millet,Fungal (Downy Mildew),Morning,Seedling,Cool/Wet,15-22°C,90-100%,Green ear.
Millet,Insect (Shoot Fly),Morning,Seedling,Calm,25-30°C,70-90%,Dead hearts.
Millet,Fungal (Rust),Morning,Flowering,Humid,20-28°C,80-90%,Pustules.
Millet,Insect (Armyworm),Evening,Outbreak,Dry,25-32°C,50-70%,Foliage loss.
Millet,Fungal (Ergot),Pre-Harvest,Flowering,Cool/Wet,18-24°C,90-100%,Sticky honeydew.
Millet,Insect (Midge),Morning,Flowering,Humid,25-30°C,80-90%,Chaffy heads.
Millet,Fungal (Smut),Pre-planting,Seed Treat,Warm,25-30°C,70-80%,Black sori.
Millet,Insect (Grasshoppers),Mid-Day,All Stages,Dry,28-35°C,40-60%,Defoliation.
Sorghum,Insect (Shoot Fly),Morning,Seedling,Calm,25-30°C,70-90%,Dead hearts.
Sorghum,Fungal (Anthracnose),Morning,Every 14 Days,Warm/Wet,25-30°C,85-95%,Red lesions.
Sorghum,Insect (Stem Borer),Evening,Vegetative,Dry,25-32°C,60-80%,Tunneling.
Sorghum,Fungal (Downy Mildew),Morning,Systemic,Cool/Wet,18-24°C,90-100%,Striping.
Sorghum,Insect (Midge),Morning,Flowering,Humid,25-30°C,80-90%,Empty glumes.
Sorghum,Fungal (Grain Mold),Pre-Harvest,Maturation,Wet,25-30°C,85-95%,Moldy grain.
Sorghum,Insect (Aphids),Morning,Weekly,Calm,20-28°C,50-70%,Honeydew.
Sorghum,Fungal (Rust),Morning,Flag Leaf,Humid,20-28°C,80-90%,Pustules.
Sorghum,Insect (Head Bug),Morning,Milking,Warm,25-30°C,60-80%,Kernel damage.
Sorghum,Fungal (Ergot),Pre-Harvest,Flowering,Cool/Wet,18-22°C,90-100%,Sugary drip.
